"sector","pressure","ecoChar","overlap","frequency","DoI","confidence","comments","Overlap.Score","Frequency.Score","DoI.Score","Impact.Risk.Score","IR.relative.contribution"
"Small vessels - active demersal","Siltation/ Smothering","Benthic Habitat (& assoc. biota): VMEs","S","P","A",NA,NA,0.03,1,1,0.03,0.297057496963825
"Small vessels - active demersal","Siltation/ Smothering","Benthic Habitat (& assoc. biota): non-VMEs","L","P","C",NA,NA,0.33,1,0.2,0.066,0.653526493320415
"Small vessels - active demersal","Siltation/ Smothering","Fish","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Siltation/ Smothering","Elasmobranchs","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Siltation/ Smothering","Cephalopods","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Siltation/ Smothering","Food Web (D4)","L","P","C",NA,NA,0.33,1,0.2,0.066,0.653526493320415
"Large vessels - active demersal","Siltation/ Smothering","Benthic Habitat (& assoc. biota): VMEs","S","P","A",NA,NA,0.03,1,1,0.03,0.297057496963825
"Large vessels - active demersal","Siltation/ Smothering","Benthic Habitat (& assoc. biota): non-VMEs","WP","P","C",NA,NA,0.67,1,0.2,0.134,1.32685681977175
"Large vessels - active demersal","Siltation/ Smothering","Fish","WP","P","L",NA,NA,0.67,1,0.05,0.0335,0.331714204942938
"Large vessels - active demersal","Siltation/ Smothering","Elasmobranchs","WP","P","L",NA,NA,0.67,1,0.05,0.0335,0.331714204942938
"Large vessels - active demersal","Siltation/ Smothering","Cephalopods","WP","P","L",NA,NA,0.67,1,0.05,0.0335,0.331714204942938
"Large vessels - active demersal","Siltation/ Smothering","Food Web (D4)","WP","P","C",NA,NA,0.67,1,0.2,0.134,1.32685681977175
"passive pelagic","Abrasion","Benthic Habitat (& assoc. biota): VMEs","NO",NA,NA,NA,"incomplete information on VME habitat => potential fishing. Could be NO, E or S ?, also reports (ie NEAFC) of incursions",0,0,0,0,0
"passive pelagic","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","NO",NA,NA,NA,NA,0,0,0,0,0
"passive pelagic","Abrasion","Fish","NO",NA,NA,NA,NA,0,0,0,0,0
"passive pelagic","Abrasion","Elasmobranchs","NO",NA,NA,NA,NA,0,0,0,0,0
